TIMESTAMP,RECORD,CO2_mV_Avg(1),CO2_mV_Avg(2),CO2_mV_Avg(3),CO2_Final_Avg(1),CO2_Final_Avg(2),CO2_Final_Avg(3)
2023-05-15T10:15:00Z,556,1049.523,255.177,307.1298,2938.664,5103.541,6142.596
2023-05-15T10:30:00Z,557,1047.002,254.4731,306.494,2931.607,5089.463,6129.881
2023-05-15T10:45:00Z,558,1045.095,255.1089,306.0853,2926.266,5102.179,6121.706
2023-05-15T11:00:00Z,559,1042.302,254.8819,306.3351,2918.446,5097.638,6126.702
2023-05-15T11:15:00Z,560,1044.278,255.5631,307.0163,2923.977,5111.261,6140.326
2023-05-15T11:30:00Z,561,1045.935,256.0172,306.2897,2928.619,5120.344,6125.793
2023-05-15T11:45:00Z,562,1048.047,255.336,306.4032,2934.531,5106.72,6128.064
2023-05-15T12:00:00Z,563,1044.3,256.4032,307.4704,2924.041,5128.064,6149.408
2023-05-15T12:15:00Z,564,1043.415,256.1989,308.1971,2921.562,5123.977,6163.94
2023-05-15T12:30:00Z,565,1046.594,255.7674,306.9482,2930.462,5115.349,6138.963
2023-05-15T12:45:00Z,566,1048.887,255.7901,307.7202,2936.884,5115.803,6154.404
2023-05-15T13:00:00Z,567,1052.293,255.6539,308.1516,2946.421,5113.078,6163.032
2023-05-15T13:15:00Z,568,1051.97,256.6805,306.8587,2945.516,5133.61,6137.174
2023-05-15T13:30:00Z,569,1054.151,256.4268,306.618,2951.622,5128.537,6132.359
2023-05-15T13:45:00Z,570,1055.038,254.8171,307.2921,2954.108,5096.342,6145.842
2023-05-15T14:00:00Z,571,1055.32,255.025,306.5384,2954.895,5100.5,6130.767
2023-05-15T14:15:00Z,572,1051.54,254.716,306.771,2944.312,5094.319,6135.421
2023-05-15T14:30:00Z,573,1043.069,255.2306,307.5338,2920.594,5104.612,6150.677
2023-05-15T14:45:00Z,574,1048.037,255.0488,307.1478,2934.504,5100.976,6142.955
2023-05-15T15:00:00Z,575,1047.879,254.1412,307.3747,2934.06,5082.823,6147.493
2023-05-15T15:15:00Z,576,1049.898,254.6858,306.2174,2939.714,5093.715,6124.349
2023-05-15T15:30:00Z,577,1055.457,254.6631,305.5821,2955.281,5093.261,6111.641
2023-05-15T15:45:00Z,578,1052.076,255.3665,306.4217,2945.814,5107.33,6128.433
2023-05-15T16:00:00Z,579,1054.799,254.1185,305.809,2953.438,5082.369,6116.179
2023-05-15T16:15:00Z,580,1056.047,254.6631,305.3551,2956.932,5093.261,6107.103
2023-05-15T16:30:00Z,581,1058.271,254.9127,305.1055,2963.159,5098.253,6102.111
2023-05-15T16:45:00Z,582,1059.678,253.8916,306.2401,2967.098,5077.831,6124.802
2023-05-15T17:00:00Z,583,1062.083,253.5512,304.9013,2973.833,5071.024,6098.026
2023-05-15T17:15:00Z,584,1062.287,254.5042,305.1963,2974.405,5090.084,6103.926
2023-05-15T17:30:00Z,585,1064.375,252.6208,304.4929,2980.25,5052.417,6089.858
2023-05-15T17:45:00Z,586,1064.33,254.8673,304.629,2980.123,5097.345,6092.581
2023-05-15T18:00:00Z,587,1068.482,253.2335,305.1282,2991.75,5064.67,6102.564
2023-05-15T18:15:00Z,588,1068.527,253.5739,303.1541,2991.877,5071.478,6063.083
2023-05-15T18:30:00Z,589,1069.617,253.642,303.7668,2994.927,5072.839,6075.335
2023-05-15T18:45:00Z,590,1067.938,253.2562,304.9467,2990.225,5065.124,6098.935
2023-05-15T19:00:00Z,591,1070.479,253.642,304.2433,2997.341,5072.839,6084.866
2023-05-15T19:15:00Z,592,1070.32,254.0731,304.7198,2996.896,5081.462,6094.396
2023-05-15T19:30:00Z,593,1071.659,253.4604,303.7441,3000.645,5069.208,6074.882
2023-05-15T19:45:00Z,594,1072.271,254.0731,304.1298,3002.36,5081.462,6082.596
2023-05-15T20:00:00Z,595,1073.451,253.6193,303.5399,3005.664,5072.385,6070.797
2023-05-15T20:15:00Z,596,1072.521,253.2108,303.4264,3003.059,5064.217,6068.528
2023-05-15T20:30:00Z,597,1074.518,253.3016,303.381,3008.65,5066.032,6067.62
2023-05-15T20:45:00Z,598,1078.307,252.8478,302.9045,3019.26,5056.955,6058.09
2023-05-15T21:00:00Z,599,1078.239,251.8494,301.9742,3019.07,5036.987,6039.483
2023-05-15T21:15:00Z,600,1072.703,251.9628,303.9256,3003.567,5039.256,6078.512
2023-05-15T21:30:00Z,601,1077.105,253.1655,302.9499,3015.893,5063.309,6058.998
2023-05-15T21:45:00Z,602,1083.209,252.757,303.2675,3032.984,5055.14,6065.351
2023-05-15T22:00:00Z,603,1079.873,252.8931,302.6095,3023.645,5057.863,6052.19
2023-05-15T22:15:00Z,604,1076.787,251.5771,301.2027,3015.004,5031.541,6024.053
2023-05-15T22:30:00Z,605,1078.443,252.1216,302.791,3019.642,5042.433,6055.821
2023-05-15T22:45:00Z,606,1079.011,252.5301,303.0406,3021.23,5050.602,6060.813
2023-05-15T23:00:00Z,607,1079.873,251.8267,302.4961,3023.645,5036.533,6049.921
2023-05-15T23:15:00Z,608,1079.782,252.3259,301.4977,3023.39,5046.517,6029.953
2023-05-15T23:30:00Z,609,1080.531,250.8283,302.2918,3025.487,5016.565,6045.837
2023-05-15T23:45:00Z,610,1077.717,251.6905,300.9984,3017.609,5033.811,6019.969
2023-05-16T00:00:00Z,611,1079.17,251.5998,301.248,3021.675,5031.995,6024.961
2023-05-16T00:15:00Z,612,1077.854,252.4393,301.9515,3017.99,5048.787,6039.029
2023-05-16T00:30:00Z,613,1079.102,251.8721,301.9061,3021.484,5037.44,6038.122
2023-05-16T00:45:00Z,614,1081.325,251.9628,301.6111,3027.711,5039.256,6032.222
2023-05-16T01:00:00Z,615,1077.173,251.5998,301.3615,3016.084,5031.995,6027.23
2023-05-16T01:15:00Z,616,1076.424,251.8493,301.7472,3013.987,5036.987,6034.945
2023-05-16T01:30:00Z,617,1075.267,251.3728,301.18,3010.747,5027.457,6023.6
2023-05-16T01:45:00Z,618,1076.923,251.7813,300.3404,3015.385,5035.625,6006.808
2023-05-16T02:00:00Z,619,1078.421,251.7586,301.4977,3019.578,5035.172,6029.953
2023-05-16T02:15:00Z,620,1076.174,250.5333,299.8639,3013.288,5010.665,5997.278
