TIMESTAMP,RECORD,CO2_mV_Avg(1),CO2_mV_Avg(2),CO2_mV_Avg(3),CO2_Final_Avg(1),CO2_Final_Avg(2),CO2_Final_Avg(3)
2023-12-20T17:00:00Z,0,1.21027,0.9727405,0.7917655,3.388757,19.45481,15.83531
2023-12-20T21:00:00Z,1,342.7892,2505.553,2502.692,959.8099,50111.07,50053.83
2023-12-21T01:00:00Z,2,314.7607,2505.429,2502.624,881.3301,50108.58,50052.48
2023-12-21T05:00:00Z,3,292.1275,2505.395,2502.613,817.9572,50107.9,50052.25
2023-12-21T09:00:00Z,4,283.7462,2505.169,2502.454,794.4892,50103.38,50049.08
2023-12-21T13:00:00Z,5,281.6707,2504.791,2501.024,788.678,50095.81,50020.48
2023-12-21T17:00:00Z,6,275.2885,2504.891,2500.954,770.8079,50097.81,50019.09
2023-12-21T21:00:00Z,7,273.3762,2505.008,2501.818,765.4533,50100.15,50036.36
2023-12-22T01:00:00Z,8,267.7074,2504.921,2501.291,749.5807,50098.43,50025.81
2023-12-22T05:00:00Z,9,272.4345,2504.945,2501.302,762.8167,50098.91,50026.05
2023-12-22T09:00:00Z,10,274.7567,2504.48,2501.391,769.3185,50089.6,50027.82
2023-12-22T13:00:00Z,11,271.5187,2504.633,2501.804,760.2523,50092.66,50036.07
2023-12-22T17:00:00Z,12,270.0407,2505.312,2501.545,756.1139,50106.25,50030.89
2023-12-22T21:00:00Z,13,273.9058,2505.181,2502.376,766.9362,50103.63,50047.53
2023-12-23T01:00:00Z,14,275.1161,2504.785,2501.075,770.325,50095.71,50021.51
2023-12-23T05:00:00Z,15,273.6388,2504.971,2501.396,766.1887,50099.43,50027.93
2023-12-23T09:00:00Z,16,274.5608,2505.154,2501.308,768.7701,50103.07,50026.15
2023-12-23T13:00:00Z,17,272.3457,2504.962,2501.298,762.5678,50099.25,50025.96
2023-12-23T17:00:00Z,18,278.9844,2505.261,2502.501,781.1563,50105.21,50050.02
2023-12-23T21:00:00Z,19,280.1945,2505.711,2502.646,784.5445,50114.23,50052.92
2023-12-24T01:00:00Z,20,283.4294,2505.44,2502.703,793.6023,50108.8,50054.05
2023-12-24T05:00:00Z,21,285.4427,2505.508,2502.737,799.2396,50110.16,50054.73
2023-12-24T09:00:00Z,22,282.6715,2505.519,2502.669,791.4803,50110.38,50053.38
2023-12-24T13:00:00Z,23,284.0628,2505.564,2502.793,795.3759,50111.29,50055.86
2023-12-24T17:00:00Z,24,284.873,2505.72,2502.598,797.6444,50114.39,50051.96
2023-12-24T21:00:00Z,25,286.3755,2504.955,2502.004,801.8515,50099.1,50040.07
2023-12-25T01:00:00Z,26,282.8296,2505.575,2502.544,791.9228,50111.51,50050.89
2023-12-25T05:00:00Z,27,287.6224,2505.671,2502.56,805.3427,50113.42,50051.21
2023-12-25T09:00:00Z,28,285.7447,2505.476,2502.457,800.085,50109.53,50049.14
2023-12-25T13:00:00Z,29,286.3107,2505.391,2502.372,801.6701,50107.82,50047.44
2023-12-25T17:00:00Z,30,286.0305,2504.938,2502.055,800.8854,50098.76,50041.09
2023-12-25T21:00:00Z,31,281.8861,2505.993,2502.16,789.281,50119.87,50043.2
2023-12-26T01:00:00Z,32,282.067,2505.632,2502.036,789.7875,50112.63,50040.71
2023-12-26T05:00:00Z,33,285.16,2505.734,2502.737,798.4479,50114.68,50054.73
2023-12-26T09:00:00Z,34,280.8011,2505.744,2502.509,786.2431,50114.88,50050.19
2023-12-26T13:00:00Z,35,279.307,2505.384,2502.083,782.0596,50107.69,50041.65
2023-12-26T17:00:00Z,36,278.2226,2505.609,2502.036,779.0232,50112.18,50040.71
2023-12-26T21:00:00Z,37,279.7377,2506.073,2502.16,783.2656,50121.45,50043.2
2023-12-27T01:00:00Z,38,280.4727,2505.417,2502.024,785.3235,50108.33,50040.49
2023-12-27T05:00:00Z,39,276.8544,2505.371,2502.013,775.1924,50107.43,50040.26
2023-12-27T09:00:00Z,40,274.9661,2505.665,2502.183,769.9052,50113.31,50043.66
2023-12-27T13:00:00Z,41,276.1986,2505.462,2502.002,773.3561,50109.24,50040.04
2023-12-27T17:00:00Z,42,277.1597,2505.677,2502.171,776.0472,50113.54,50043.43
2023-12-27T21:00:00Z,43,275,2505.891,2502.092,770.0001,50117.83,50041.85
2023-12-28T01:00:00Z,44,272.3316,2505.801,2502.194,762.5284,50116.02,50043.88
2023-12-28T05:00:00Z,45,269.2334,2505.473,2502.104,753.8536,50109.46,50042.07
2023-12-28T09:00:00Z,46,273.8806,2505.632,2502.104,766.8658,50112.63,50042.07
2023-12-28T13:00:00Z,47,273.6545,2505.405,2502.002,766.2326,50108.11,50040.04
2023-12-28T17:00:00Z,48,274.1859,2506.083,2502.228,767.7206,50121.68,50044.56
2023-12-28T21:00:00Z,49,273.157,2506.129,2502.895,764.8396,50122.58,50057.9
2023-12-29T01:00:00Z,50,273.9937,2506.061,2502.477,767.1824,50121.22,50049.54
2023-12-29T05:00:00Z,51,273.7789,2505.97,2502.341,766.5809,50119.41,50046.82
2023-12-29T09:00:00Z,52,272.2298,2505.914,2502.25,762.2434,50118.29,50045.01
2023-12-29T13:00:00Z,53,274.9548,2505.869,2502.149,769.8735,50117.38,50042.98
2023-12-29T17:00:00Z,54,275.5767,2506.039,2502.42,771.6148,50120.77,50048.4
2023-12-29T21:00:00Z,55,270.692,2506.129,2502.579,757.9377,50122.58,50051.57
2023-12-30T01:00:00Z,56,262.0647,2504.919,2502.104,733.7812,50098.38,50042.07
2023-12-30T05:00:00Z,57,263.8046,2505.465,2502.197,738.653,50109.31,50043.94
2023-12-30T09:00:00Z,58,262.0335,2505.274,2502.119,733.6937,50105.48,50042.38
